name,userId,movieId,rating,timestamp
"""Omar Huffman""","""1""","""2294""",2.0,1260759108
"""Omar Huffman""","""1""","""2455""",2.5,1260759113
"""Omar Huffman""","""1""","""2968""",1.0,1260759200
"""Omar Huffman""","""1""","""3671""",3.0,1260759117
"""Omar Huffman""","""1""","""1953""",4.0,1260759191
"""Omar Huffman""","""1""","""2105""",4.0,1260759139
"""Omar Huffman""","""1""","""2150""",3.0,1260759194
"""Omar Huffman""","""1""","""2193""",2.0,1260759198
"""Omar Huffman""","""1""","""1061""",3.0,1260759182
"""Omar Huffman""","""1""","""1129""",2.0,1260759185
"""Omar Huffman""","""1""","""31""",2.5,1260759144
"""Omar Huffman""","""1""","""1029""",3.0,1260759179
"""Omar Huffman""","""1""","""1287""",2.0,1260759187
"""Omar Huffman""","""1""","""1293""",2.0,1260759148
"""Omar Huffman""","""1""","""1172""",4.0,1260759205
"""Omar Huffman""","""1""","""1263""",2.0,1260759151
"""Omar Huffman""","""1""","""1371""",2.5,1260759135
"""Omar Huffman""","""1""","""1405""",1.0,1260759203
"""Omar Huffman""","""1""","""1339""",3.5,1260759125
"""Omar Huffman""","""1""","""1343""",2.0,1260759131
"""Mr. Jason Love""","""2""","""248""",3.0,835355896
"""Mr. Jason Love""","""2""","""235""",3.0,835355664
"""Mr. Jason Love""","""2""","""261""",4.0,835355681
"""Mr. Jason Love""","""2""","""253""",4.0,835355511
"""Mr. Jason Love""","""2""","""222""",5.0,835355840
"""Mr. Jason Love""","""2""","""208""",3.0,835355511
"""Mr. Jason Love""","""2""","""225""",3.0,835355552
"""Mr. Jason Love""","""2""","""223""",1.0,835355749
"""Mr. Jason Love""","""2""","""168""",3.0,835355710
"""Mr. Jason Love""","""2""","""165""",3.0,835355441
"""Mr. Jason Love""","""2""","""186""",3.0,835355664
"""Mr. Jason Love""","""2""","""185""",3.0,835355511
"""Mr. Jason Love""","""2""","""150""",5.0,835355395
"""Mr. Jason Love""","""2""","""144""",3.0,835356016
"""Mr. Jason Love""","""2""","""161""",3.0,835355493
"""Mr. Jason Love""","""2""","""153""",4.0,835355441
"""Mr. Jason Love""","""2""","""50""",4.0,835355586
"""Mr. Jason Love""","""2""","""52""",3.0,835356031
"""Mr. Jason Love""","""2""","""62""",3.0,835355749
"""Mr. Jason Love""","""2""","""110""",4.0,835355532
"""Mr. Jason Love""","""2""","""10""",4.0,835355493
"""Mr. Jason Love""","""2""","""17""",5.0,835355681
"""Mr. Jason Love""","""2""","""39""",5.0,835355604
"""Mr. Jason Love""","""2""","""47""",4.0,835355552
"""Mr. Jason Love""","""2""","""500""",4.0,835355731
"""Mr. Jason Love""","""2""","""497""",3.0,835355880
"""Mr. Jason Love""","""2""","""551""",5.0,835355767
"""Mr. Jason Love""","""2""","""550""",3.0,835356109
"""Mr. Jason Love""","""2""","""539""",3.0,835355767
"""Mr. Jason Love""","""2""","""537""",4.0,835356199
"""Mr. Jason Love""","""2""","""527""",4.0,835355731
"""Mr. Jason Love""","""2""","""515""",4.0,835355817
"""Mr. Jason Love""","""2""","""509""",4.0,835355719
"""Mr. Jason Love""","""2""","""508""",4.0,835355860
"""Mr. Jason Love""","""2""","""592""",5.0,835355395
"""Mr. Jason Love""","""2""","""590""",5.0,835355395
"""Mr. Jason Love""","""2""","""589""",5.0,835355697
"""Mr. Jason Love""","""2""","""588""",3.0,835355441
"""Mr. Jason Love""","""2""","""587""",3.0,835355779
"""Mr. Jason Love""","""2""","""586""",3.0,835355790
"""Mr. Jason Love""","""2""","""585""",5.0,835355817
"""Mr. Jason Love""","""2""","""552""",3.0,835355860
"""Mr. Jason Love""","""2""","""661""",4.0,835356141
"""Mr. Jason Love""","""2""","""720""",4.0,835355978
"""Mr. Jason Love""","""2""","""593""",3.0,835355511
"""Mr. Jason Love""","""2""","""616""",3.0,835355932
"""Mr. Jason Love""","""2""","""266""",5.0,835355586
"""Mr. Jason Love""","""2""","""265""",5.0,835355697
"""Mr. Jason Love""","""2""","""273""",4.0,835355779
"""Mr. Jason Love""","""2""","""272""",3.0,835355767
"""Mr. Jason Love""","""2""","""296""",4.0,835355395
"""Mr. Jason Love""","""2""","""292""",3.0,835355492
"""Mr. Jason Love""","""2""","""314""",4.0,835356044
"""Mr. Jason Love""","""2""","""300""",3.0,835355532
"""Mr. Jason Love""","""2""","""319""",1.0,835355918
"""Mr. Jason Love""","""2""","""317""",2.0,835355551
"""Mr. Jason Love""","""2""","""349""",4.0,835355441
"""Mr. Jason Love""","""2""","""339""",3.0,835355492
"""Mr. Jason Love""","""2""","""356""",3.0,835355628
"""Mr. Jason Love""","""2""","""350""",4.0,835355697
"""Mr. Jason Love""","""2""","""364""",3.0,835355604
"""Mr. Jason Love""","""2""","""357""",3.0,835355749
"""Mr. Jason Love""","""2""","""367""",3.0,835355619
"""Mr. Jason Love""","""2""","""370""",2.0,835355932
"""Mr. Jason Love""","""2""","""371""",3.0,835355968
